,precision,recall,f1-score,support
35553,0.0,0.0,0.0,2.0
35573,0.0,0.0,0.0,1.0
35577,0.0,0.0,0.0,1.0
35587,0.3333333333333333,0.5,0.4,2.0
35625,0.0,0.0,0.0,1.0
35648,0.0,0.0,0.0,1.0
35664,0.0,0.0,0.0,1.0
35680,0.0,0.0,0.0,1.0
35737,0.0,0.0,0.0,3.0
35753,0.0,0.0,0.0,1.0
35756,0.0,0.0,0.0,1.0
35764,0.0,0.0,0.0,1.0
35767,0.0,0.0,0.0,1.0
35793,0.0,0.0,0.0,1.0
35820,0.0,0.0,0.0,8.0
35828,0.0,0.0,0.0,1.0
35834,0.0,0.0,0.0,2.0
35845,0.0,0.0,0.0,1.0
35849,0.0,0.0,0.0,1.0
35868,0.0,0.0,0.0,1.0
35869,0.0,0.0,0.0,1.0
35875,0.0,0.0,0.0,2.0
35881,0.0,0.0,0.0,1.0
35885,0.0,0.0,0.0,1.0
35920,0.0,0.0,0.0,1.0
36186,0.0,0.0,0.0,1.0
36218,0.0,0.0,0.0,1.0
36219,0.0,0.0,0.0,1.0
36230,0.0,0.0,0.0,2.0
36235,0.0,0.0,0.0,1.0
36247,0.0,0.0,0.0,1.0
36382,0.0,0.0,0.0,1.0
36386,0.0,0.0,0.0,1.0
36712,0.0,0.0,0.0,1.0
36722,0.0,0.0,0.0,1.0
37164,0.0,0.0,0.0,1.0
37310,0.0,0.0,0.0,1.0
37807,0.0,0.0,0.0,1.0
38528,0.0,0.0,0.0,1.0
38537,0.0,0.0,0.0,1.0
38572,0.0,0.0,0.0,1.0
38615,0.0,0.0,0.0,1.0
38646,0.0,0.0,0.0,1.0
38657,0.0,0.0,0.0,1.0
38664,0.0,0.0,0.0,1.0
38668,0.0,0.0,0.0,1.0
38669,0.0,0.0,0.0,1.0
38673,0.0,0.0,0.0,1.0
38710,0.0,0.0,0.0,1.0
38715,0.0,0.0,0.0,3.0
38734,0.0,0.0,0.0,1.0
38764,0.0,0.0,0.0,1.0
38768,0.0,0.0,0.0,1.0
38782,0.0,0.0,0.0,1.0
38786,0.0,0.0,0.0,2.0
38796,0.0,0.0,0.0,1.0
38818,0.0,0.0,0.0,2.0
38833,0.0,0.0,0.0,1.0
38838,0.0,0.0,0.0,2.0
38865,0.0,0.0,0.0,1.0
38869,0.0,0.0,0.0,1.0
38872,0.0,0.0,0.0,1.0
38875,0.0,0.0,0.0,1.0
38883,0.0,0.0,0.0,1.0
38884,0.0,0.0,0.0,2.0
38953,0.0,0.0,0.0,1.0
38969,0.0,0.0,0.0,1.0
39168,0.0,0.0,0.0,1.0
39204,0.0,0.0,0.0,1.0
39386,0.0,0.0,0.0,1.0
39393,0.0,0.0,0.0,1.0
39408,0.0,0.0,0.0,3.0
39409,0.0,0.0,0.0,1.0
39410,0.0,0.0,0.0,2.0
39426,0.0,0.0,0.0,1.0
39431,0.0,0.0,0.0,1.0
39469,0.0,0.0,0.0,1.0
39471,0.0,0.0,0.0,1.0
39473,0.0,0.0,0.0,1.0
39526,0.0,0.0,0.0,1.0
39528,0.0,0.0,0.0,1.0
39544,0.0,0.0,0.0,1.0
39555,0.0,0.0,0.0,1.0
39558,0.0,0.0,0.0,2.0
39570,0.0,0.0,0.0,1.0
39578,0.0,0.0,0.0,5.0
39580,0.0,0.0,0.0,1.0
39606,0.0,0.0,0.0,1.0
39648,0.0,0.0,0.0,2.0
39657,0.0,0.0,0.0,2.0
39662,0.0,0.0,0.0,1.0
39663,0.0,0.0,0.0,2.0
39664,0.0,0.0,0.0,1.0
39666,0.0,0.0,0.0,3.0
39670,0.0,0.0,0.0,1.0
39671,0.0,0.0,0.0,10.0
39673,0.0,0.0,0.0,6.0
39675,0.0,0.0,0.0,1.0
39681,0.0,0.0,0.0,1.0
39695,0.0,0.0,0.0,3.0
39736,0.0,0.0,0.0,2.0
39741,0.0,0.0,0.0,1.0
39744,0.0,0.0,0.0,1.0
39745,0.0,0.0,0.0,1.0
39748,0.0,0.0,0.0,1.0
39749,0.0,0.0,0.0,1.0
39751,0.0,0.0,0.0,1.0
39755,0.0,0.0,0.0,1.0
39769,0.0,0.0,0.0,2.0
39771,0.0,0.0,0.0,1.0
39772,0.1,0.2,0.13333333333333333,5.0
39777,0.0,0.0,0.0,2.0
39786,0.0,0.0,0.0,5.0
39788,0.0,0.0,0.0,6.0
39797,0.0,0.0,0.0,1.0
39798,0.0,0.0,0.0,1.0
39803,0.0,0.0,0.0,1.0
39804,0.0,0.0,0.0,4.0
39813,0.0,0.0,0.0,1.0
39843,0.0,0.0,0.0,1.0
39878,0.0,0.0,0.0,1.0
39903,0.0,0.0,0.0,1.0
39906,0.0,0.0,0.0,1.0
39926,0.0,0.0,0.0,1.0
40126,0.0,0.0,0.0,1.0
40447,0.0,0.0,0.0,1.0
40518,0.0,0.0,0.0,1.0
40887,0.0,0.0,0.0,2.0
40902,0.0,0.0,0.0,1.0
40904,0.0,0.0,0.0,1.0
accuracy,0.020537124802527645,0.020537124802527645,0.020537124802527645,0.020537124802527645
macro avg,0.0010074932632557806,0.003443549768716806,0.0012707313488519326,633.0
weighted avg,0.0022339202384791847,0.020537124802527645,0.003081504291598838,633.0
